Starting Query 3 with 2 workers, using DataFrame/SQL API...
Time elapsed for Query 3: 13.361640930175781
|group|avg_trip_distance|avg_total_amount|
|---|---|---|
|0|5.576410377852007|19.903702637879007|
|1|4.804840472309411|19.03660791389491|
|2|5.950485844928121|19.553891327960553|
|3|6.1857672125677|20.17207809365826|
|4|6.606992664131458|20.692371844024798|
|5|5.533001951325831|21.121666826650515|
|6|5.679323077938295|21.515559094583587|
|7|5.800344707645977|21.428088376232783|
|8|6.249697852127242|21.921570348909114|
|9|7.9990632224691165|22.806499070460386|
|10|6.378971191608972|22.452110839872283|
|11|6.153370128239474|22.352167683521646|
|12|5.811220970695942|22.16938397436561|
